시군구,상가명,지번주소,건물명,건물유형,등록전유부수,실제영업중수,비고
중랑구,늘푸른마트,서울특별시 중랑구 망우동 524-1, ,일반,,,일반건축물(단일단위)
중랑구,굿모닝공인중개사사무소,서울특별시 중랑구 묵동 121-93, ,일반,,,일반건축물(단일단위)
중랑구,아미가모텔,서울특별시 중랑구 면목동 175-47, ,일반,,,일반건축물(단일단위)
중랑구,현대공인중개사사무소,서울특별시 중랑구 면목동 505-20, ,일반,,,일반건축물(단일단위)
중랑구,탑슬라이스,서울특별시 중랑구 면목동 119-14, ,일반,,,일반건축물(단일단위)
중랑구,진주,서울특별시 중랑구 면목동 633-2, ,일반,,,일반건축물(단일단위)
중랑구,대덕특수유리,서울특별시 중랑구 망우동 421-22, ,일반,,,일반건축물(단일단위)
중랑구,엠에스컴퍼니,서울특별시 중랑구 망우동 523-33, ,일반,,,일반건축물(단일단위)
중랑구,행복한한의원,서울특별시 중랑구 묵동 170-1,묵동자이2단지,집합,1,35,불일치(등록<실제)
중랑구,더샘엔터식스,서울특별시 중랑구 상봉동 500,상봉 프레미어스 엠코,집합,1,110,불일치(등록<실제)
중랑구,도그버디,서울특별시 중랑구 망우동 490-20, ,일반,,,일반건축물(단일단위)
중랑구,샤론미용실,서울특별시 중랑구 중화동 323-108, ,일반,,,일반건축물(단일단위)
중랑구,디바인앤블리스,서울특별시 중랑구 면목동 393-113, ,일반,,,일반건축물(단일단위)
중랑구,새나리신발세탁옷수선,서울특별시 중랑구 망우동 147-21, ,일반,,,일반건축물(단일단위)
중랑구,지에스25동부시장,서울특별시 중랑구 면목동 183-24, ,일반,,,일반건축물(단일단위)
중랑구,빠션포토스튜디오,서울특별시 중랑구 상봉동 50-9, ,일반,,,일반건축물(단일단위)
중랑구,라이스쿠킹정담,서울특별시 중랑구 면목동 114-112, ,일반,,,일반건축물(단일단위)
중랑구,우리여행사,서울특별시 중랑구 망우동 516-54, ,일반,,,일반건축물(단일단위)
중랑구,바른케어,서울특별시 중랑구 상봉동 260-1, ,일반,,,일반건축물(단일단위)
중랑구,한두래미용실,서울특별시 중랑구 중화동 314-1,태능시장 주상복합빌딩,집합,1,52,불일치(등록<실제)
중랑구,LSD공조,서울특별시 중랑구 망우동 493-21, ,일반,,,일반건축물(단일단위)
중랑구,조은전자,서울특별시 중랑구 묵동 294-54, ,일반,,,일반건축물(단일단위)
중랑구,영수크린,서울특별시 중랑구 면목동 1077-1,용마한신아파트,집합,1,9,불일치(등록<실제)
중랑구,이마트24중랑진선미,서울특별시 중랑구 중화동 332-98,중화동상가,일반,,,일반건축물(단일단위)
중랑구,남도마을,서울특별시 중랑구 면목동 604-39, ,일반,,,일반건축물(단일단위)
중랑구,세무법인호연,서울특별시 중랑구 상봉동 118-5, ,일반,,,일반건축물(단일단위)
중랑구,트래블존주,서울특별시 중랑구 묵동 396,이편한세상 화랑대,집합,1,14,불일치(등록<실제)
중랑구,에쓰씨오,서울특별시 중랑구 중화동 303-54, ,일반,,,일반건축물(단일단위)
중랑구,에스엔상조,서울특별시 중랑구 면목동 128-48, ,일반,,,일반건축물(단일단위)
중랑구,네일아이디어샵,서울특별시 중랑구 묵동 121-118, ,집합,1,2,불일치(등록<실제)
중랑구,스타,서울특별시 중랑구 상봉동 74-10, ,일반,,,일반건축물(단일단위)
중랑구,콩두,서울특별시 중랑구 상봉동 103, ,일반,,,일반건축물(단일단위)
중랑구,그랜드젬,서울특별시 중랑구 망우동 487-7, ,일반,,,일반건축물(단일단위)
중랑구,라온크린,서울특별시 중랑구 중화동 296-43, ,일반,,,일반건축물(단일단위)
성북구,예성피아노교습소,서울특별시 성북구 길음동 1276,돈암2-1 삼부아파트,집합,1,81,불일치(등록<실제)
성북구,킴스잉글리쉬영어교습소,서울특별시 성북구 정릉동 401-46, ,집합,1,18,불일치(등록<실제)
성북구,자하선인식,서울특별시 성북구 정릉동 882-6, ,일반,,,일반건축물(단일단위)
성북구,대성애드컴,서울특별시 성북구 안암동4가 41-18,운찬빌딩,일반,,,일반건축물(단일단위)
성북구,그래픽시선,서울특별시 성북구 정릉동 109-20, ,일반,,,일반건축물(단일단위)
성북구,이니스프리한성대점,서울특별시 성북구 동소문동1가 23, ,일반,,,일반건축물(단일단위)
성북구,조셉의커피나무,서울특별시 성북구 성북동 350-3, ,일반,,,일반건축물(단일단위)
성북구,샤론미용실,서울특별시 성북구 석관동 320-40, ,일반,,,일반건축물(단일단위)
성북구,샘터,서울특별시 성북구 석관동 268-4, ,일반,,,일반건축물(단일단위)
성북구,성북냉난방,서울특별시 성북구 돈암동 2-2,신우프라자,집합,1,7,불일치(등록<실제)
성북구,사계절보리밥,서울특별시 성북구 정릉동 685-62, ,일반,,,일반건축물(단일단위)
성북구,에어컨설치이전삼성엘지캐리어가스충전중고,서울특별시 성북구 보문동6가 404, ,일반,,,일반건축물(단일단위)
성북구,조개까는총각네,서울특별시 성북구 동소문동5가 56-4, ,일반,,,일반건축물(단일단위)
성북구,두현,서울특별시 성북구 동소문동4가 103-23, ,일반,,,일반건축물(단일단위)
성북구,오투뮤직,서울특별시 성북구 동소문동6가 7-2, ,일반,,,일반건축물(단일단위)
성북구,서우유통,서울특별시 성북구 장위동 319,꿈의숲코오롱하늘채,집합,1,31,불일치(등록<실제)
성북구,선양,서울특별시 성북구 장위동 231-325, ,집합,1,2,불일치(등록<실제)
성북구,꿀꿀이생일날,서울특별시 성북구 정릉동 350-10, ,일반,,,일반건축물(단일단위)
성북구,세무회계티원,서울특별시 성북구 상월곡동 24-55, ,일반,,,일반건축물(단일단위)
성북구,두오건축사사무소,서울특별시 성북구 성북동1가 118-3,영재빌딩,일반,,,일반건축물(단일단위)
성북구,아이엠,서울특별시 성북구 하월곡동 70-2, ,일반,,,일반건축물(단일단위)
성북구,향나무국수집,서울특별시 성북구 정릉동 649-14, ,일반,,,일반건축물(단일단위)
